job,hiring company,comapny address,shift,links
Warehouse Supervisor-Medications,Andalusia Group,"Maadi, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/C8NkTm8LTmwe-Warehouse-Supervisor-Medications-Andalusia-Group-Cairo-Egypt?o=586&l=sp&t=sj&a=data entry|search-v3|hpb|spbg
Social Media Specialist,Smart Telecom ,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/nThZm7lLEcRE-Social-Media-Specialist-Smart-Telecom-Giza-Egypt?o=587&l=sp&t=sj&a=data entry|search-v3|hpb|spbg
SEO/SEM Specialist,Namaa IT,"New Cairo, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/hLscVXByTjxp-SEOSEM-Specialist-Namaa-IT-Cairo-Egypt?o=588&l=sp&t=sj&a=data entry|search-v3|hpb|spbg
Product Owner (E-Payment Field),Cashcall,"Maadi, Cairo, Egypt ",Part time,https://wuzzuf.net/jobs/p/vILvQDvAeAFU-Product-Owner-E-Payment-Field-Cashcall-Cairo-Egypt?o=589&l=sp&t=sj&a=data entry|search-v3|hpb|spbg
Account Manager - Marketing Agency,Thrive LLC,"New Cairo, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/YYBVjutEvx2t-Account-Manager---Marketing-Agency-Thrive-LLC-Cairo-Egypt?o=590&l=sp&t=sj&a=data entry|search-v3|hpb|spbg
System Support Analyst (Accounting Background),Flairstech,"Maadi, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/dTmCarBdAhaw-System-Support-Analyst-Accounting-Background-Flairstech-Cairo-Egypt?o=591&l=sp&t=sj&a=data entry|search-v3|hpb|spbg
Marketing Specialist,IWAN Design House,"New Cairo, Cairo, Egypt ",Part time,https://wuzzuf.net/jobs/p/9dzQtH1BWhsw-Marketing-Specialist-IWAN-Design-House-Cairo-Egypt?o=592&l=sp&t=sj&a=data entry|search-v3|hpb|spbg
Supply Chain Manager - Pharmaceutical,Multicare Egypt,"New Cairo, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/tsoKCMXwKYOP-Supply-Chain-Manager---Pharmaceutical-Multicare-Egypt-Cairo-Egypt?o=593&l=sp&t=sj&a=data entry|search-v3|hpb|spbg
Foreign Purchasing Specialist,EVA Cosmetics ,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/cIbBz0cddaYI-Foreign-Purchasing-Specialist-EVA-Cosmetics-Giza-Egypt?o=594&l=sp&t=sj&a=data entry|search-v3|hpb|spbg
Business Development Executive,Lagasso,"Mohandessin, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/xxdTF0gIq4ni-Business-Development-Executive-Lagasso-Giza-Egypt?o=595&l=sp&t=sj&a=data entry|search-v3|hpb|spbg
Customer Care Representative,Global Brands,"New Cairo, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/kvqdrMAU56kj-Customer-Care-Representative-Global-Brands-Cairo-Egypt?o=596&l=sp&t=sj&a=data entry|search-v3|hpb|spbg
Mid-Level Product Owner,Confidential -,"Maadi, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/vkUP5uuPbAoZ-Mid-Level-Product-Owner-Cairo-Egypt?o=597&l=sp&t=sj&a=data entry|search-v3|hpb|spbg
